| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    520MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      1%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
| 41%   42C    P2    31W / 160W |    521MiB /  5931MiB |      2%      Default |
